umc
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
#overhead=0.1000,  0.2855,0.0226,0.0712,0.1342,0.2282,0.0037,0.3663,0.0886,0.1097
overhead=0.5000,  0.3159,0.0546,0.1298,0.2170,0.2398,0.0564,0.3733,0.1696,0.1418
overhead=1.0000,  0.3482,0.1154,0.1773,0.3141,0.2554,0.1051,0.3874,0.2884,0.1741
overhead=3.0000,  0.5086,0.4184,0.4006,0.6500,0.5437,0.2704,0.6378,0.9142,0.3221
overhead=5.0000,  0.7730,0.6875,0.7663,0.8060,1.0000,0.4796,1.0000,1.0000,0.5655
overhead=7.0000,  1.0000,0.9486,1.0000,0.9457,1.0000,0.7047,1.0000,1.0000,0.8092
#overhead=9.0000,  1.0000,1.0000,1.0000,1.0000,1.0000,0.8985,1.0000,1.0000,1.0000
overhead=11.0000,  1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000

hb
,perlbench,bzip2,gcc,mcf,gobmk,hmmer,sjeng,libquantum,h264ref
overhead=0.1000,  0.9021,0.5517,0.7701,0.9238,0.9940,0.5635,1.0000,1.0000,0.8180
overhead=0.5000,  0.9305,0.5973,0.7897,0.9509,1.0000,0.5787,1.0000,1.0000,0.8481
overhead=1.0000,  0.9667,0.6382,0.8347,1.0000,1.0000,0.5923,1.0000,1.0000,0.8789
overhead=3.0000,  1.0000,0.7317,0.9856,1.0000,1.0000,0.5994,1.0000,1.0000,1.0000
overhead=5.0000,  1.0000,0.9206,1.0000,1.0000,1.0000,0.7377,1.0000,1.0000,1.0000
overhead=7.0000,  1.0000,1.0000,1.0000,1.0000,1.0000,0.8042,1.0000,1.0000,1.0000

ls
,barnes,ocean_cp,ocean_ncp,radiosity,water_nsquared,fmm,raytrace
ls_overhead=0.0100,0.3547,0.3609,0.3052,0.2237,0.4524,0.2166,0.229
ls_overhead=0.0500,0.6401,0.5602,0.5103,0.4415,0.6808,0.4953,0.4217
ls_overhead=0.1000,1,0.5861,0.5416,0.6505,1,0.7107,0.6073
ls_overhead=0.2000,1,0.699,0.7446,1,1,1,0.6768
ls_overhead=0.3000,1,1,1,1,1,1,0.9656
ls_overhead=0.4000,1,1,1,1,1,1,1
